Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub1ex3,1,0.748159057,0.732173377,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,2,0.718703976,0.732173377,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,3,0.748159057,0.732173377,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,4,0.717231222,0.732173377,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,5,0.728613569,0.732173377,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub2ex1,1,0.789396171,0.766051064,"[0.6907816849905758, 0.7853551717905491, 0.8171202606047003]"
sub2ex1,2,0.755522828,0.766051064,"[0.6907816849905758, 0.7853551717905491, 0.8171202606047003]"
sub2ex1,3,0.768777614,0.766051064,"[0.6907816849905758, 0.7853551717905491, 0.8171202606047003]"
sub2ex1,4,0.773195876,0.766051064,"[0.6907816849905758, 0.7853551717905491, 0.8171202606047003]"
sub2ex1,5,0.743362832,0.766051064,"[0.6907816849905758, 0.7853551717905491, 0.8171202606047003]"
sub2ex2,1,0.839469809,0.832352801,"[0.8413657647956612, 0.8042642458881112, 0.8503213655004919]"
sub2ex2,2,0.815905744,0.832352801,"[0.8413657647956612, 0.8042642458881112, 0.8503213655004919]"
sub2ex2,3,0.840942563,0.832352801,"[0.8413657647956612, 0.8042642458881112, 0.8503213655004919]"
sub2ex2,4,0.827687776,0.832352801,"[0.8413657647956612, 0.8042642458881112, 0.8503213655004919]"
sub2ex2,5,0.837758112,0.832352801,"[0.8413657647956612, 0.8042642458881112, 0.8503213655004919]"
sub2ex3,1,0.780559647,0.779314539,"[0.7988631014037576, 0.775180426090566, 0.7633918407998116]"
sub2ex3,2,0.780559647,0.779314539,"[0.7988631014037576, 0.775180426090566, 0.7633918407998116]"
sub2ex3,3,0.780559647,0.779314539,"[0.7988631014037576, 0.775180426090566, 0.7633918407998116]"
sub2ex3,4,0.782032401,0.779314539,"[0.7988631014037576, 0.775180426090566, 0.7633918407998116]"
sub2ex3,5,0.772861357,0.779314539,"[0.7988631014037576, 0.775180426090566, 0.7633918407998116]"
sub3ex1,1,0.804123711,0.802885121,"[0.7921098115464823, 0.8027048460490113, 0.8128616414241991]"
sub3ex1,2,0.793814433,0.802885121,"[0.7921098115464823, 0.8027048460490113, 0.8128616414241991]"
sub3ex1,3,0.824742268,0.802885121,"[0.7921098115464823, 0.8027048460490113, 0.8128616414241991]"
sub3ex1,4,0.796759941,0.802885121,"[0.7921098115464823, 0.8027048460490113, 0.8128616414241991]"
sub3ex1,5,0.794985251,0.802885121,"[0.7921098115464823, 0.8027048460490113, 0.8128616414241991]"
sub3ex2,1,0.870397644,0.855625356,"[0.8293464085634483, 0.8109391819453295, 0.9251941188314843]"
sub3ex2,2,0.843888071,0.855625356,"[0.8293464085634483, 0.8109391819453295, 0.9251941188314843]"
sub3ex2,3,0.861561119,0.855625356,"[0.8293464085634483, 0.8109391819453295, 0.9251941188314843]"
sub3ex2,4,0.854197349,0.855625356,"[0.8293464085634483, 0.8109391819453295, 0.9251941188314843]"
sub3ex2,5,0.848082596,0.855625356,"[0.8293464085634483, 0.8109391819453295, 0.9251941188314843]"
sub3ex3,1,0.849779087,0.836778014,"[0.8413216365141396, 0.7618028336672807, 0.9003213323346365]"
sub3ex3,2,0.827687776,0.836778014,"[0.8413216365141396, 0.7618028336672807, 0.9003213323346365]"
sub3ex3,3,0.82179676,0.836778014,"[0.8413216365141396, 0.7618028336672807, 0.9003213323346365]"
sub3ex3,4,0.823269514,0.836778014,"[0.8413216365141396, 0.7618028336672807, 0.9003213323346365]"
sub3ex3,5,0.861356932,0.836778014,"[0.8413216365141396, 0.7618028336672807, 0.9003213323346365]"
sub4ex1,1,0.916053019,0.900406202,"[0.8822351985016372, 0.8921242138518816, 0.9271859939386129]"
sub4ex1,2,0.910162003,0.900406202,"[0.8822351985016372, 0.8921242138518816, 0.9271859939386129]"
sub4ex1,3,0.911634757,0.900406202,"[0.8822351985016372, 0.8921242138518816, 0.9271859939386129]"
sub4ex1,4,0.885125184,0.900406202,"[0.8822351985016372, 0.8921242138518816, 0.9271859939386129]"
sub4ex1,5,0.879056047,0.900406202,"[0.8822351985016372, 0.8921242138518816, 0.9271859939386129]"
sub4ex2,1,0.787923417,0.778429584,"[0.758108412647245, 0.7157595024970738, 0.8546509449215762]"
sub4ex2,2,0.758468336,0.778429584,"[0.758108412647245, 0.7157595024970738, 0.8546509449215762]"
sub4ex2,3,0.784977909,0.778429584,"[0.758108412647245, 0.7157595024970738, 0.8546509449215762]"
sub4ex2,4,0.792341679,0.778429584,"[0.758108412647245, 0.7157595024970738, 0.8546509449215762]"
sub4ex2,5,0.768436578,0.778429584,"[0.758108412647245, 0.7157595024970738, 0.8546509449215762]"
sub4ex3,1,0.768777614,0.763997028,"[0.7402742399412989, 0.7774915800672764, 0.7760195806676936]"
sub4ex3,2,0.77466863,0.763997028,"[0.7402742399412989, 0.7774915800672764, 0.7760195806676936]"
sub4ex3,3,0.770250368,0.763997028,"[0.7402742399412989, 0.7774915800672764, 0.7760195806676936]"
sub4ex3,4,0.736377025,0.763997028,"[0.7402742399412989, 0.7774915800672764, 0.7760195806676936]"
sub4ex3,5,0.769911504,0.763997028,"[0.7402742399412989, 0.7774915800672764, 0.7760195806676936]"
sub5ex1,1,0.863033873,0.838830312,"[0.8323128501802189, 0.8152211528081121, 0.8671194609060198]"
sub5ex1,2,0.827687776,0.838830312,"[0.8323128501802189, 0.8152211528081121, 0.8671194609060198]"
sub5ex1,3,0.848306333,0.838830312,"[0.8323128501802189, 0.8152211528081121, 0.8671194609060198]"
sub5ex1,4,0.826215022,0.838830312,"[0.8323128501802189, 0.8152211528081121, 0.8671194609060198]"
sub5ex1,5,0.828908555,0.838830312,"[0.8323128501802189, 0.8152211528081121, 0.8671194609060198]"
sub5ex2,1,0.898379971,0.904830112,"[0.8754239302044144, 0.8999186201851159, 0.9379083176464098]"
sub5ex2,2,0.907216495,0.904830112,"[0.8754239302044144, 0.8999186201851159, 0.9379083176464098]"
sub5ex2,3,0.93078056,0.904830112,"[0.8754239302044144, 0.8999186201851159, 0.9379083176464098]"
sub5ex2,4,0.889543446,0.904830112,"[0.8754239302044144, 0.8999186201851159, 0.9379083176464098]"
sub5ex2,5,0.898230088,0.904830112,"[0.8754239302044144, 0.8999186201851159, 0.9379083176464098]"
sub5ex3,1,0.864506627,0.862695878,"[0.8656200412954027, 0.8145955330640623, 0.9055989612885629]"
sub5ex3,2,0.851251841,0.862695878,"[0.8656200412954027, 0.8145955330640623, 0.9055989612885629]"
sub5ex3,3,0.867452135,0.862695878,"[0.8656200412954027, 0.8145955330640623, 0.9055989612885629]"
sub5ex3,4,0.877761414,0.862695878,"[0.8656200412954027, 0.8145955330640623, 0.9055989612885629]"
sub5ex3,5,0.852507375,0.862695878,"[0.8656200412954027, 0.8145955330640623, 0.9055989612885629]"
