Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub1ex1,1,0.861561119,0.851502079,"[0.7915565058067137, 0.8363367048924311, 0.9195192384405975]"
sub1ex1,2,0.840942563,0.851502079,"[0.7915565058067137, 0.8363367048924311, 0.9195192384405975]"
sub1ex1,3,0.843888071,0.851502079,"[0.7915565058067137, 0.8363367048924311, 0.9195192384405975]"
sub1ex1,4,0.861561119,0.851502079,"[0.7915565058067137, 0.8363367048924311, 0.9195192384405975]"
sub1ex1,5,0.849557522,0.851502079,"[0.7915565058067137, 0.8363367048924311, 0.9195192384405975]"
sub1ex2,1,0.77466863,0.768124215,"[0.7397316933792244, 0.7031703552410622, 0.8525992856312788]"
sub1ex2,2,0.745213549,0.768124215,"[0.7397316933792244, 0.7031703552410622, 0.8525992856312788]"
sub1ex2,3,0.776141384,0.768124215,"[0.7397316933792244, 0.7031703552410622, 0.8525992856312788]"
sub1ex2,4,0.762886598,0.768124215,"[0.7397316933792244, 0.7031703552410622, 0.8525992856312788]"
sub1ex2,5,0.781710914,0.768124215,"[0.7397316933792244, 0.7031703552410622, 0.8525992856312788]"
sub1ex3,1,0.764359352,0.741605954,"[0.6704751720231025, 0.7122755972125049, 0.8329184341547554]"
sub1ex3,2,0.737849779,0.741605954,"[0.6704751720231025, 0.7122755972125049, 0.8329184341547554]"
sub1ex3,3,0.730486009,0.741605954,"[0.6704751720231025, 0.7122755972125049, 0.8329184341547554]"
sub1ex3,4,0.723122239,0.741605954,"[0.6704751720231025, 0.7122755972125049, 0.8329184341547554]"
sub1ex3,5,0.752212389,0.741605954,"[0.6704751720231025, 0.7122755972125049, 0.8329184341547554]"
sub2ex1,1,0.784977909,0.773124194,"[0.6976468769903232, 0.8049635624056191, 0.808778626076316]"
sub2ex1,2,0.756995582,0.773124194,"[0.6976468769903232, 0.8049635624056191, 0.808778626076316]"
sub2ex1,3,0.792341679,0.773124194,"[0.6976468769903232, 0.8049635624056191, 0.808778626076316]"
sub2ex1,4,0.77466863,0.773124194,"[0.6976468769903232, 0.8049635624056191, 0.808778626076316]"
sub2ex1,5,0.756637168,0.773124194,"[0.6976468769903232, 0.8049635624056191, 0.808778626076316]"
sub2ex2,1,0.861561119,0.858572602,"[0.8715523586690678, 0.828244938033898, 0.8746578608707395]"
sub2ex2,2,0.846833579,0.858572602,"[0.8715523586690678, 0.828244938033898, 0.8746578608707395]"
sub2ex2,3,0.877761414,0.858572602,"[0.8715523586690678, 0.828244938033898, 0.8746578608707395]"
sub2ex2,4,0.852724595,0.858572602,"[0.8715523586690678, 0.828244938033898, 0.8746578608707395]"
