Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub1ex1,1.0,0.590574374,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub1ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub1ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub1ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub1ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub1ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub1ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub1ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub1ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub1ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub1ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub1ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub1ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub1ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub1ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
,,0.561772982,,
,,,,
sub2ex1,1.0,0.590574374,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub2ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub2ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub2ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub2ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub2ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub2ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub2ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub2ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub2ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub2ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub2ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub2ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
